subject,dataset_mouse_id,lab,n_sessions_mouse,n_probes_mouse,n_good_units_mouse,date,session_number,eid,n_probes_session,n_good_units_session,probe_name,pid,n_good_units,probe_regions_with_good_units,probe_region_good_unit_counts,n_regions_probe,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session,raw_lfp_available_session,raw_lfp_available_probe,raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_trials_total,n_trials_bwm_include,n_trials_excluded_from_bwm,bwm_trial_inclusion_fraction
NYU-40,sub-NYU-40,angelakilab,4,8,806,2021-04-16,2,f359281f-6941-4bfd-90d4-940be22ed3c3,2,63,probe01,7441d0df-ef9b-419b-ae4d-b9bd7c2f17cb,31,CB,CB:30,1,CB,CB:60,1,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,463,239,224,0.516199
NYU-45,sub-NYU-45,angelakilab,3,6,701,2021-07-19,1,51e53aff-1d5d-4182-a684-aba783d50ae5,2,265,probe00,1a60a6e1-da99-4d4e-a734-39b1d4544fad,117,"TH, HPF, Isocortex",TH:94; HPF:17; Isocortex:6,3,"MB, TH, HPF, Isocortex, OLF",MB:124; TH:115; HPF:19; Isocortex:6; OLF:1,5,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,505,189,316,0.374257
NYU-45,sub-NYU-45,angelakilab,3,6,701,2021-07-19,1,51e53aff-1d5d-4182-a684-aba783d50ae5,2,265,probe01,18be19f9-6ca5-4fc8-9220-ba43c3e75905,148,"MB, TH, HPF, OLF",MB:124; TH:21; HPF:2; OLF:1,4,"MB, TH, HPF, Isocortex, OLF",MB:124; TH:115; HPF:19; Isocortex:6; OLF:1,5,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,505,189,316,0.374257
NYU-45,sub-NYU-45,angelakilab,3,6,701,2021-07-20,2,537677fe-1e24-4755-948c-fa4a4e8ecce5,2,230,probe00,e7080659-8319-48a6-b6fd-2e8ce8eeec49,103,"Isocortex, MB",Isocortex:67; MB:26,2,"CB, Isocortex, MB, HB",CB:82; Isocortex:67; MB:26; HB:3,4,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,474,234,240,0.493671
NYU-45,sub-NYU-45,angelakilab,3,6,701,2021-07-20,2,537677fe-1e24-4755-948c-fa4a4e8ecce5,2,230,probe01,76f16631-cbf7-4883-9437-4e8d8c4f34a3,127,"CB, HB",CB:82; HB:3,2,"CB, Isocortex, MB, HB",CB:82; Isocortex:67; MB:26; HB:3,4,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,474,234,240,0.493671
NYU-45,sub-NYU-45,angelakilab,3,6,701,2021-07-23,1,5bcafa14-71cb-42fa-8265-ce5cda1b89e0,2,206,probe00,e4632651-5ba7-48a7-86db-5298b45a5bac,117,"HB, MB",HB:83; MB:31,2,"HB, MB, CB",HB:144; MB:31; CB:14,3,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,436,133,303,0.305046
NYU-45,sub-NYU-45,angelakilab,3,6,701,2021-07-23,1,5bcafa14-71cb-42fa-8265-ce5cda1b89e0,2,206,probe01,7c11adc6-adbd-484f-8ae9-13946285e3f8,89,"HB, CB",HB:61; CB:14,2,"HB, MB, CB",HB:144; MB:31; CB:14,3,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,436,133,303,0.305046
NYU-46,sub-NYU-46,angelakilab,4,5,225,2021-06-22,1,d32876dd-8303-4720-8e7e-20678dc2fd71,1,32,probe00,98bde8a6-6b6a-4e53-96b1-9078c3974a97,32,"Isocortex, OLF",Isocortex:24; OLF:7,2,"Isocortex, OLF",Isocortex:24; OLF:7,2,True,True,probe00,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,424,128,296,0.301887
NYU-46,sub-NYU-46,angelakilab,4,5,225,2021-06-23,1,72982282-e493-45ee-87ce-aa45cb3a3ec1,2,81,probe00,79fbd14b-bfad-4b28-90a9-3019bf72336f,40,"Isocortex, CNU",Isocortex:27; CNU:13,2,"CB, Isocortex, CNU",CB:36; Isocortex:27; CNU:13,3,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,491,244,247,0.496945
NYU-46,sub-NYU-46,angelakilab,4,5,225,2021-06-23,1,72982282-e493-45ee-87ce-aa45cb3a3ec1,2,81,probe01,a4ed0599-4a72-4afb-8fe9-d0d046aec6aa,41,CB,CB:36,1,"CB, Isocortex, CNU",CB:36; Isocortex:27; CNU:13,3,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,491,244,247,0.496945
NYU-46,sub-NYU-46,angelakilab,4,5,225,2021-06-24,1,6434f2f5-6bce-42b8-8563-d93d493613a2,1,87,probe00,f8249eab-d4c2-4fb0-a258-7f4b99fa19e4,87,"Isocortex, OLF, CTXsp, CNU",Isocortex:35; OLF:30; CTXsp:12; CNU:6,4,"Isocortex, OLF, CTXsp, CNU",Isocortex:35; OLF:30; CTXsp:12; CNU:6,4,True,True,probe00,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,401,197,204,0.491272
