eid,subject,lab,date,session_number,n_trials,raw_lfp_available,raw_lfp_probes,n_raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_registered_datasets,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session
37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0,CSHL059,churchlandlab,2020-03-08,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,224,"CNU, HPF, MB, OLF, TH",CNU:97; HPF:51; MB:22; OLF:20; TH:2,5
2e6e179c-fccc-4e8f-9448-ce5b6858a183,CSHL060,churchlandlab,2020-03-09,2,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,221,"Isocortex, HB, OLF, CB",Isocortex:121; HB:26; OLF:10; CB:7,4
1191f865-b10a-45c8-9c48-24a980fd9402,CSHL060,churchlandlab,2020-03-11,4,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,224,"Isocortex, OLF, HB, CB, CNU",Isocortex:182; OLF:34; HB:17; CB:16; CNU:2,5
f10efe41-0dc0-44d0-8f26-5ff68dca23e9,CSHL060,churchlandlab,2020-03-12,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,224,"CB, HB",CB:287; HB:119,2
6364ff7f-6471-415a-ab9e-632a12052690,CSHL060,churchlandlab,2020-03-14,3,,True,probe01,1,True,"left, right",True,"left, right",DLC + Lightning Pose,132,"CNU, HY",CNU:90; HY:28,2
7be8fec4-406b-4e74-8548-d2885dcc3d5e,CSHL060,churchlandlab,2020-03-15,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,224,"CNU, HB, HPF, Isocortex, MB, HY",CNU:99; HB:28; HPF:26; Isocortex:8; MB:8; HY:7,6
7dd27c2f-9544-448d-918d-be0f9837b0e0,MFD_05,churchlandlab_ucla,2023-08-15,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,140,"HB, MB, Isocortex",HB:91; MB:46; Isocortex:4,3
ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,MFD_05,churchlandlab_ucla,2023-08-16,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,160,"MB, HPF, Isocortex",MB:49; HPF:44; Isocortex:40,3
004d8fd5-41e7-4f1b-a45b-0d4ad76fe446,MFD_05,churchlandlab_ucla,2023-08-17,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,140,"HB, CB",HB:87; CB:49,2
35eeb752-8f4f-4040-9714-ba0f5b7ccdfe,MFD_06,churchlandlab_ucla,2023-08-22,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,139,"MB, HB",MB:115; HB:26,2
97c1d08d-57b4-4595-8052-91eb84ebfd74,MFD_06,churchlandlab_ucla,2023-08-23,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,137,"HB, MB",HB:78; MB:58,2
a1782f4f-86b0-480c-a7f2-3d8f1ab482ab,MFD_06,churchlandlab_ucla,2023-08-24,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,138,"HB, MB, HPF",HB:92; MB:7; HPF:6,3
3f71aa98-08c6-4e79-b4c8-00eae4f03eff,MFD_06,churchlandlab_ucla,2023-08-25,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,142,HPF,HPF:142,1
c46b8def-620d-4d70-9397-be5694255f73,MFD_07,churchlandlab_ucla,2023-08-29,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,141,"CB, MB",CB:139; MB:87,2
15b69921-d471-4ded-8814-2adad954bcd8,MFD_07,churchlandlab_ucla,2023-08-31,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,166,"TH, Isocortex, HPF",TH:69; Isocortex:33; HPF:25,3
11163613-a6c9-4975-9586-84dc00481547,MFD_07,churchlandlab_ucla,2023-09-01,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,142,"MB, HB",MB:72; HB:54,2
5ae68c54-2897-4d3a-8120-426150704385,MFD_08,churchlandlab_ucla,2023-09-07,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,166,"MB, Isocortex, HPF",MB:96; Isocortex:17; HPF:16,3
a7eba2cf-427f-4df9-879b-e53e962eae18,MFD_08,churchlandlab_ucla,2023-09-08,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,138,"HB, CB",HB:168; CB:107,2
ebce500b-c530-47de-8cb1-963c552703ea,MFD_09,churchlandlab_ucla,2023-10-19,1,,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,170,"TH, Isocortex, HPF",TH:205; Isocortex:64; HPF:13,3
d57df551-6dcb-4242-9c72-b806cff5613a,UCLA005,churchlandlab_ucla,2021-08-02,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,153,"MB, HPF",MB:37; HPF:14,2
19e66dc9-bf9f-430b-9d6a-acfa85de6fb7,UCLA006,churchlandlab_ucla,2021-12-08,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,140,"TH, Isocortex, HPF",TH:223; Isocortex:75; HPF:13,3
824cf03d-4012-4ab1-b499-c83a92c5589e,UCLA011,churchlandlab_ucla,2021-07-20,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,154,"TH, HPF, Isocortex, HY",TH:46; HPF:12; Isocortex:3; HY:1,4
1f095590-6669-46c9-986b-ccaf0620c5e9,UCLA012,churchlandlab_ucla,2021-07-07,2,,True,probe01,1,True,"left, right",True,"left, right",DLC + Lightning Pose,124,TH,TH:98,1
03d9a098-07bf-4765-88b7-85f8d8f620cc,UCLA014,churchlandlab_ucla,2021-08-18,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,153,"MB, HPF",MB:90; HPF:5,2
0c828385-6dd6-4842-a702-c5075f5f5e81,UCLA015,churchlandlab_ucla,2022-03-31,1,,True,probe00,1,True,right,True,"left, right",DLC + Lightning Pose,152,"MB, TH, Isocortex, HPF",MB:61; TH:29; Isocortex:24; HPF:17,4
bb099402-fb31-4cfd-824e-1c97530a0875,UCLA017,churchlandlab_ucla,2021-11-16,2,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,155,"MB, Isocortex, HPF",MB:139; Isocortex:49; HPF:27,3
7f5df7eb-cf36-4589-a20a-14b535441142,UCLA030,churchlandlab_ucla,2022-05-03,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,138,Isocortex,Isocortex:343,1
111c1762-7908-47e0-9f40-2f2ee55b6505,UCLA033,churchlandlab_ucla,2022-02-15,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,259,"MB, HPF, Isocortex",MB:164; HPF:105; Isocortex:72,3
5455a21c-1be7-4cae-ae8e-8853a8d5f55e,UCLA033,churchlandlab_ucla,2022-02-17,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,144,"Isocortex, HPF",Isocortex:49; HPF:10,2
32d27583-56aa-4510-bc03-669036edad20,UCLA033,churchlandlab_ucla,2022-02-24,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,144,"HB, CB, MB",HB:144; CB:11; MB:2,3
8a3a0197-b40a-449f-be55-c00b23253bbf,UCLA034,churchlandlab_ucla,2022-01-25,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,256,"MB, HPF, TH, Isocortex",MB:241; HPF:53; TH:38; Isocortex:33,4
ebc9392c-1ecb-4b4b-a545-4e3d70d23611,UCLA034,churchlandlab_ucla,2022-01-26,1,,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,140,"CNU, Isocortex",CNU:185; Isocortex:74,2
