eid,stimOff_times,goCueTrigger_times,firstMovement_times,goCue_times,probabilityLeft,response_times,feedbackType,rewardVolume,contrastRight,choice,feedback_times,stimOn_times,contrastLeft,intervals_0,intervals_1,bwm_include,saturation_stim_plus04,saturation_feedback_plus04,saturation_move_minus02,saturation_stim_minus04_minus01,saturation_stim_plus06,saturation_stim_minus06_plus06,saturation_stim_minus06_minus01,saturation_stim_plus01,stim_side,rt
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,740.1689423707402,738.51880975941,738.8692413400009,738.5194740007386,0.8,739.0600180308287,1.0,1.5,0.125,-1.0,739.0601199307391,738.5186074207385,,737.6309961907376,740.6690466220072,True,False,False,False,False,False,False,False,False,right,0.3506339192624637
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,744.0518873707441,742.4517575434633,742.686241340001,742.4524473307424,0.8,742.9343589146627,1.0,1.5,,1.0,742.9344657907429,742.4516140807425,0.25,741.3808545007414,744.5519655107153,True,False,False,False,False,False,False,False,False,left,0.23462725925844552
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,751.7011223707517,747.8347994524102,749.388241340001,747.8357422807478,0.8,750.5925359038378,1.0,1.5,,1.0,750.5926332307506,747.8346757207479,0.0,745.2699655507453,752.2011601664391,True,False,False,False,False,False,False,False,False,left,1.5535656192530496
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,768.3171939307683,766.8005064488025,767.056241340001,766.8012455407668,0.8,767.2071111365832,1.0,1.5,0.125,-1.0,767.2072049407673,766.8003123007668,,766.2551001607662,768.8172316998026,True,False,False,False,False,False,False,False,False,right,0.2559290392341609
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,775.8665055907759,774.3833809278675,774.636241340001,774.3842205007744,0.8,774.7463849939459,1.0,1.5,,1.0,774.7464842707748,774.3832539307743,1.0,772.6418614207727,776.3666061423545,True,False,False,False,False,False,False,False,False,left,0.2529874092266482
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,784.4164171807844,782.8828745069675,783.031241340001,782.8838037907828,0.8,783.2955769008456,1.0,1.5,1.0,-1.0,783.2956626007833,782.8827039007829,,781.5853669807816,784.9164893029399,True,False,False,False,False,False,False,False,False,right,0.14853743921810292
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,794.981693880795,793.5991832907989,793.753241340001,793.6000653907936,0.8,793.8704856123054,1.0,1.5,,1.0,793.8705716707939,793.5989988307936,0.0,791.8999687507919,795.4818024001802,True,False,False,False,False,False,False,False,False,left,0.1542425092073927
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,810.1144471208102,808.5643158383285,808.807241340001,808.5653020508086,0.8,809.004522302169,1.0,1.5,1.0,-1.0,809.004624780809,808.5641688308086,,807.8637055508078,810.6144489417786,True,False,False,False,False,False,False,False,False,right,0.24307250919241596
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,822.2140703708222,820.5472566700727,820.889241340001,820.5482369708205,0.8,821.0956611610326,1.0,1.5,,1.0,821.0957488808211,820.5470704208205,0.0625,819.7499501408198,822.7141774152851,True,False,False,False,False,False,False,False,False,left,0.34217091918048936
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,835.7634486308358,834.2465965295615,834.457241340001,834.2474669108343,0.8,834.6557006949438,1.0,1.5,1.0,-1.0,834.6557927408346,834.2464336808342,,833.6760907208337,836.263519065293,True,False,False,False,False,False,False,False,False,right,0.21080765916678956
