pid,probe_regions_with_good_units,probe_region_good_unit_counts,n_regions_probe
4f10fbb7-57be-427b-bb1d-a19bd31dc27b,"TH, Isocortex, HPF",TH:52; Isocortex:7; HPF:6,3
4f46198d-c54d-4627-9e4e-3c8fd4c3c070,CNU,CNU:10,1
4f922a5b-5014-455d-8cd5-7caed78af615,"HPF, TH, HY",HPF:41; TH:3; HY:1,3
5011eba9-8926-4a73-b729-579d02676d25,"CNU, Isocortex",CNU:76; Isocortex:59,2
501ab543-9d02-4085-956d-22b9b3eeb543,"TH, Isocortex, HPF, HY",TH:131; Isocortex:52; HPF:35; HY:25,4
50445b30-f4ef-4405-b014-1d792ddfed88,"MB, HB",MB:29; HB:11,2
507b20cf-4ab0-4f55-9a81-88b02839d127,"OLF, CNU, Isocortex, CTXsp",OLF:66; CNU:35; Isocortex:19; CTXsp:2,4
50ebb677-e4a3-4421-b74f-1997a9cd1ad1,MB,MB:30,1
50f1512d-dd41-4a0c-b3ab-b0564f0424d7,"HPF, MB, TH",HPF:51; MB:22; TH:2,3
511afaa5-fdc4-4166-b4c0-4629ec5e652e,CB,CB:191,1
5135e93f-2f1f-4301-9532-b5ad62548c49,"TH, HPF, Isocortex",TH:58; HPF:22; Isocortex:3,3
516b2043-0176-49a3-a986-132b3d02f28a,"CNU, HY",CNU:90; HY:28,2
523f8301-4f56-4faf-ab33-a9ff11331118,"TH, HPF",TH:113; HPF:13,2
5245b505-d0e7-4942-94d1-b33a084fab03,Isocortex,Isocortex:226,1
530f1670-9412-44ac-afdb-935d46bcaad3,"MB, Isocortex",MB:68; Isocortex:8,2
531423f6-d36d-472b-8234-c8f7b8293f79,"TH, Isocortex, HPF, MB",TH:23; Isocortex:21; HPF:14; MB:2,4
532bb33e-f22f-454a-ba1f-561d1578b250,"MB, HPF, Isocortex",MB:67; HPF:36; Isocortex:11,3
53b3a7c6-ae42-49da-b69c-69e55a43a427,"Isocortex, HPF, MB, TH",Isocortex:26; HPF:19; MB:15; TH:4,4
53b58cc3-8d88-4257-aa63-48da088f2091,"TH, CNU",TH:29; CNU:28,2
53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2,MB,MB:184,1
54455bff-7afd-4a16-835f-f79b7c30bae9,Isocortex,Isocortex:18,1
5458cb27-d065-4626-bcd8-1aa775e1115e,"Isocortex, OLF, CNU",Isocortex:45; OLF:21; CNU:3,3
54c8f5de-83d7-49b9-9b4c-67fe0f07289b,HPF,HPF:87,1
55001cb4-e10f-4657-9760-1228b590a69c,"TH, HY, HPF, MB",TH:112; HY:15; HPF:9; MB:7,4
55423355-281c-41f2-8ef7-5aa098ffbbed,"Isocortex, CTXsp",Isocortex:130; CTXsp:19,2
5544da75-8d34-47cb-9092-1f91e713e79c,"Isocortex, HPF",Isocortex:96; HPF:38,2
567b4da5-6ee6-4300-9f40-442930c2b1ca,"HB, MB",HB:96; MB:60,2
56f2a378-78d2-4132-b3c8-8c1ba82be598,"TH, HPF",TH:69; HPF:3,2
57656bee-e32e-4848-b924-0f6f18cfdfb1,"MB, HPF, Isocortex",MB:45; HPF:9; Isocortex:8,3
577e4741-4b15-4e91-b81b-61304a09bfb5,"CB, HB",CB:38; HB:13,2
578ca001-8cf5-4d30-b58f-1d574eaf808a,"MB, Isocortex",MB:39; Isocortex:12,2
57acb640-4f64-4a89-bedf-69351a3aea75,"OLF, Isocortex",OLF:50; Isocortex:23,2
57c5856a-c7bd-4d0f-87c6-37005b1484aa,"HB, CB",HB:139; CB:60,2
5810514e-2a86-4a34-b7bd-1e4b0b601295,TH,TH:59,1
58b271d5-f728-4de8-b2ae-51908931247c,CB,CB:121,1
594664af-9033-4651-861d-2be9277c9866,"Isocortex, MB, HPF",Isocortex:54; MB:42; HPF:1,3
59b7a543-8827-4157-a4f6-d5d0e50fdf39,"MB, HPF, Isocortex",MB:36; HPF:14; Isocortex:1,3
5a2f99aa-d3f5-469d-882e-0a16ee869746,CNU,CNU:136,1
5a34d971-1cb3-4f0e-8dfe-e51e2313a668,"Isocortex, OLF",Isocortex:311; OLF:84,2
5a4740a3-8e93-495d-b6cf-83dccba01d7a,"CB, HB",CB:227; HB:21,2
5a5a2320-3b0d-485d-aba2-dc96357e00d8,"TH, Isocortex",TH:29; Isocortex:8,2
5a9f8899-556a-43ea-892d-5e35b969ff38,CTXsp,CTXsp:3,1
5b489aee-75e8-42af-aca6-3026d9a54c2d,"HB, CB",HB:86; CB:35,2
5bfcf68f-4e0b-46f8-a9e3-8e919d5ddd1c,"TH, CNU, HPF",TH:50; CNU:19; HPF:5,3
5c278ffe-6452-4c36-b17f-2050c74e13b1,CNU,CNU:23,1
5d570bf6-a4c6-4bf1-a14b-2c878c84ef0e,"HB, MB",HB:197; MB:13,2
5d9a5895-0f28-416c-a6d6-3e781658ea57,CB,CB:34,1
5e84c8e7-236f-4a64-a944-dc4a17c64f1d,"TH, CNU",TH:67; CNU:1,2
5e8ac11b-959a-49ab-a6a3-8a3397e1df0e,CNU,CNU:50,1
5eebb5d6-cf9b-49a0-b297-0701c4d90173,"TH, HPF, HY",TH:24; HPF:9; HY:2,3
5f7766ce-8e2e-410c-9195-6bf089fea4fd,CB,CB:108,1
5fd00035-89d6-4e7c-bb26-f103388b731d,"OLF, Isocortex, CNU",OLF:83; Isocortex:74; CNU:16,3
6104a953-589c-4661-bed9-a81ccef7d0be,"CB, HB",CB:88; HB:21,2
61ed1a53-2f33-4a83-82ba-ec7dfa65bf60,"HPF, Isocortex",HPF:80; Isocortex:33,2
