subject,dataset_mouse_id,lab,date,session_number,eid,n_probes,n_good_units,probes,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session,raw_lfp_available,raw_lfp_probes,n_raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_trials_total,n_trials_bwm_include,n_trials_excluded_from_bwm,bwm_trial_inclusion_fraction
ZFM-04308,sub-ZFM-04308,mainenlab,2022-07-26,1,239dd3c9-35f3-4462-95ee-91b822a22e6b,2,163,"probe00, probe01","MB, HPF, Isocortex",MB:105; HPF:35; Isocortex:15,3,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,414,258,156,0.623188
ZFM-04308,sub-ZFM-04308,mainenlab,2022-07-27,1,9dd72e52-5393-4c08-9eca-f7dace2e59f6,1,90,probe01,CB,CB:79,1,True,probe01,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,403,245,158,0.60794
ZM_1897,sub-ZM_1897,mainenlab,2019-12-02,1,dd4da095-4a99-4bf3-9727-f735077dba66,2,536,"probe00, probe01","Isocortex, TH, OLF, HPF",Isocortex:330; TH:95; OLF:84; HPF:26,4,True,"probe00, probe01",2,False,,False,,Neither,413,332,81,0.803874
ZM_1897,sub-ZM_1897,mainenlab,2019-12-06,1,e5fae088-ed96-4d9b-82f9-dfd13c259d52,1,132,probe00,"TH, Isocortex, HPF",TH:107; Isocortex:15; HPF:9,3,True,probe00,1,False,,False,,Neither,548,434,114,0.791971
ZM_1898,sub-ZM_1898,mainenlab,2019-12-10,7,21e16736-fd59-44c7-b938-9b1333d25da8,1,132,probe00,"TH, CTXsp, OLF, CNU",TH:58; CTXsp:17; OLF:11; CNU:8,4,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,802,348,454,0.433915
ZM_1898,sub-ZM_1898,mainenlab,2019-12-11,2,53738f95-bd08-4d9d-9133-483fdb19e8da,1,71,probe00,"TH, CTXsp, CNU",TH:30; CTXsp:27; CNU:7,3,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,596,355,241,0.595638
ZM_2240,sub-ZM_2240,mainenlab,2020-01-21,1,d33baf74-263c-4b37-a0d0-b79dcb80a764,2,524,"probe00, probe01","Isocortex, TH, OLF, HPF, HY, CNU",Isocortex:223; TH:191; OLF:74; HPF:21; HY:8; CNU:3,6,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,427,332,95,0.777518
ZM_2240,sub-ZM_2240,mainenlab,2020-01-22,1,259927fd-7563-4b03-bc5d-17b4d0fa7a55,2,328,"probe00, probe01","CNU, Isocortex, OLF, TH, HY",CNU:119; Isocortex:93; OLF:78; TH:24; HY:8,5,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,646,458,188,0.708978
ZM_2240,sub-ZM_2240,mainenlab,2020-01-23,1,510b1a50-825d-44ce-86f6-9678f5396e02,1,232,probe00,"TH, Isocortex, HPF",TH:117; Isocortex:58; HPF:53,3,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,1075,624,451,0.580465
ZM_2240,sub-ZM_2240,mainenlab,2020-01-24,1,193fe7a8-4eb5-4f3e-815a-0c45864ddd77,1,69,probe00,"TH, HPF, Isocortex, MB",TH:23; HPF:15; Isocortex:12; MB:1,4,True,probe00,1,True,"left, right",True,"left, right",DLC + Lightning Pose,629,471,158,0.748808
ZM_2241,sub-ZM_2241,mainenlab,2020-01-27,1,ff4187b5-4176-4e39-8894-53a24b7cf36b,2,518,"probe00, probe01","CNU, Isocortex, CTXsp, OLF",CNU:263; Isocortex:100; CTXsp:45; OLF:29,4,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,872,559,313,0.641055
ZM_2241,sub-ZM_2241,mainenlab,2020-01-28,1,465c44bd-2e67-4112-977b-36e1ac7e3f8c,2,254,"probe00, probe01","CNU, TH, Isocortex",CNU:136; TH:87; Isocortex:31,3,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,484,360,124,0.743802
